Name,Rating,Type,Price Level,Total_user_rating,Locality,Lat,Lng,Region
Max Men's Parlour,0,spa,2,0,Aarnyeshwar,18.4865567,73.8501732,R4
Chaudhari Law Publishers,4.5,book_store,2,13,ABC Chowk,18.5162851,73.8525401,R6
Sai Sradha Drycleaners,5,laundry,2,2,Abhay Appartment,18.5120358,73.8173126,R1
Foliage Outdoors Aundh Branch,4.1,travel_agency,2,13,Abhimanshree Society,18.5404171,73.8192153,R3
S.K.Stationeries,0,book_store,2,0,Adarsh Colony,18.575078,73.891553,R2
Symphony Stage Equipment,5,electronics_store,2,4,Adinath Society,18.491503,73.856631,R4
Sai Neeta Travels And Logistics,1,travel_agency,2,1,Ahamad Nagar,18.53788,73.804824,R3
Ashley HomeStore,4.3,furniture_store,2,201,Airport Road,18.5561659,73.8941507,R2
Immanuel Business Corporation,3,lodging,2,2,Airport Road,18.561305,73.892297,R2
Camping Near Pune,5,lodging,2,1,Akhil Shivtirth Nagar Colony,18.512111,73.810187,R1
INOX Pune / Jai Ganesh,5,movie_theater,2,1,Akurdi,18.52033,73.85661,R6
Rajan Coffee,4.7,cafe,2,35,Ambedkar Chowk,18.5627399,73.8308314,R3
Pratikruti The Lakeview Resort,3.8,lodging,2,309,Ambegaon ,18.4338985,73.8494791,R4
3Star Car Care,4.4,car_wash,2,14,Ambegaon BK,18.4488558,73.8426852,R4
46 Lounge Family Resto,3.7,night_club,2,140,Ambegaon BK,18.4489987,73.8437328,R4
A.K. Computers,4.3,electronics_store,2,6,Ambegaon BK,18.449588,73.85116,R4
Ace Fitness Club,4.3,gym,2,206,Ambegaon BK,18.454816,73.834718,R4
Aquafriend Enterprises Eureka Forbes,0,aquarium,2,0,Ambegaon BK,18.4408621,73.8471441,R4
Ashwarya Varieties,0,book_store,2,0,Ambegaon BK,18.449176,73.849609,R4
Bajaj Fianance,0,shopping_mall,2,0,Ambegaon BK,18.4493779,73.8495077,R4
Bluebay Water Sports,3.9,cafe,2,508,Ambegaon BK,18.4391177,73.8406764,R4
Book store,3,book_store,2,4,Ambegaon BK,18.4616661,73.8359467,R4
Caf̩ Coffee Day,4,cafe,2,1441,Ambegaon BK,18.4408785,73.8397829,R4
Cafe Creme,4.2,cafe,2,105,Ambegaon BK,18.4647802,73.8354729,R4
Com Care Center,4.3,electronics_store,2,6,Ambegaon BK,18.4453908,73.8439769,R4
Cotton King,4,clothing_store,2,127,Ambegaon BK,18.4496024,73.850025,R4
DHANSHRI CAR WASHERS,4.2,car_wash,2,46,Ambegaon BK,18.4494627,73.8476498,R4
Gavran Danka Entertainment - Film Production,5,movie_theater,2,27,Ambegaon BK,18.4400223,73.8399606,R4
GURUDATTA WASHING CENTER,3.8,car_wash,2,4,Ambegaon Bk,18.445795,73.858067,R4
Jagadamba Group,5,night_club,2,5,Ambegaon BK,18.4519603,73.8481665,R4
"Lake View Point, Ambegaon-Jambhulwadi",5,night_club,2,2,Ambegaon BK,18.4372513,73.8393054,R4
M.N.Book Stall,4,book_store,2,2,Ambegaon BK,18.4650092,73.8365344,R4
Mahesh Gallery Dish & Aquarium,4.4,aquarium,2,5,Ambegaon BK,18.458911,73.82927,R4
Mamta Packers M. N. Books hire tempo mini truck rent shop household office relocation Hostel shifting services in Pune,3.8,book_store,2,414,Ambegaon BK,18.4632861,73.8364439,R4
Maratha Books Center,5,book_store,2,1,Ambegaon BK,18.4650195,73.8338223,R4
Matrix School of Management Studies,4.1,university,2,160,Ambegaon BK,18.4617188,73.8334961,R4
Moraya Kitchen,3.4,furniture_store,2,5,Ambegaon BK,18.4508,73.847346,R4
NAIK Car Wash & Spa & mechenical works denting painting all types of mechenic works,4,car_wash,2,3,Ambegaon BK,18.4513649,73.8488903,R4
Nbn Ssoms,4,university,2,6,Ambegaon BK,18.4635442,73.8370873,R4
Nest Health Care Center & Old Age Home.,5,spa,2,5,Ambegaon BK,18.4499569,73.8334255,R4
Nita's Yoga & Fitness Center for Ladies,4.6,gym,2,12,Ambegaon BK,18.4553396,73.8467823,R4
One Stop Shop,0,travel_agency,2,0,Ambegaon BK,18.44763,73.8492645,R4
Panchvati boys hostel,0,night_club,2,0,Ambegaon BK,18.4598866,73.8339997,R4
Pet nutrition,5,pet_store,2,3,Ambegaon BK,18.446591,73.85591,R4
'PRIMEROSE'' GURUKRUPA DEVELIPERS,4.6,car_repair,2,20,Ambegaon BK,18.4525504,73.8420746,R4
Pune Cambridge Public College And Jr. College,3.2,university,2,25,Ambegaon BK,18.4571353,73.8428062,R4
Pune Institute Of Aviation Technology,4.1,university,2,172,Ambegaon BK,18.461155,73.835469,R4
Sai Datta washing center,0,car_wash,2,0,Ambegaon BK,18.4569127,73.8433982,R4
Salempur Salkhani Shiv Mandir,0,night_club,2,0,Ambegaon BK,18.440785,73.8600332,R4
Sharda Stores,2,gym,2,0,Ambegaon BK,18.4496271,73.8509806,R4
shree sai electricals,0,hardware_store,2,0,Ambegaon BK,18.448854,73.841765,R4
Shri Electronics,5,electronics_store,2,1,Ambegaon BK,18.449226,73.851027,R4
Sinhgad Cafeteria,3.7,cafe,2,37,Ambegaon BK,18.4637728,73.832274,R4
"Sinhgad College Of Art, Commerce And Science",3.8,university,2,201,Ambegaon BK,18.4618046,73.832857,R4
